time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OXY_oxy
2013-05-15,0.0157796729429037,15.6645161290323,0,0.443458980044346,0.645161290322581,1.29157248950597,149.875104079933,292.259795135437
2013-05-16,0.0148613094670837,15.3409375,0,0.433145980508431,0.664291072768192,1.3298691156483,149.801851340891,294.297219308042
2013-05-17,0.0141219667944918,15.2883333333333,0,0.422832980972516,0.683420855213803,1.36816574179063,149.728598601849,294.63084253026
2013-05-18,0.0168282707627047,14.9034375,0,0.412519981436601,0.702550637659415,1.40646236793296,149.655345862807,297.09260662339
2013-05-19,0.0237941240438245,14.6352083333333,0,0.402206981900686,0.721680420105026,1.44475899407529,149.582093123765,298.829990913516
2013-05-20,0.0381026390588165,14.3988541666667,0,0.391893982364771,0.740810202550638,1.48305562021762,149.508840384723,300.376002034191
2013-05-21,0.0261120945726889,15.25625,0,0.381580982828856,0.759939984996249,1.52135224635994,149.435587645681,294.834651523201
2013-05-22,0.0202990825722009,16.0263541666667,0,0.371267983292941,0.779069767441861,1.55964887250227,149.362334906639,290.011140893765
2013-05-23,0.019543082328232,15.6815625,0,0.360954983757026,0.798199549887472,1.5979454986446,149.289082167597,292.153161064126
2013-05-24,0.0184201714228596,13.7594791666667,0,0.350641984221111,0.817329332333083,1.63624212478693,149.215829428555,304.630529040776
2013-05-25,0.0160810753518972,11.8135416666667,0,0.340328984685196,0.836459114778695,1.67453875092926,149.142576689513,318.263366701914
2013-05-26,0.0148054399055979,12.67125,0,0.330015985149281,0.855588897224306,1.71283537707158,149.069323950471,312.123490472858
2013-05-27,0.0140040697483314,12.9691666666667,0,0.319702985613366,0.874718679669918,1.75113200321391,148.996071211429,310.039854618473
2013-05-28,0.0140114310227262,14.8189583333333,0,0.309389986077451,0.893848462115529,1.78942862935624,148.922818472387,297.637849250137
2013-05-29,0.0138551659178372,16.2132291666667,0,0.299076986541536,0.91297824456114,1.82772525549857,148.849565733345,288.86187611625
2013-05-30,0.0131020204427239,16.7998958333333,0,0.288763987005621,0.932108027006752,1.8660218816409,148.776312994303,285.306288805871
2013-05-31,0.0142181773519173,17.0845833333333,0,0.278450987469706,0.951237809452363,1.90431850778323,148.703060255261,283.608975139987
2013-06-01,0.0136465941141754,17.2772916666667,0,0.268137987933791,0.970367591897975,1.94261513392555,148.629807516219,282.470259192428
2013-06-02,0.0173089171385815,16.981875,0,0.257824988397875,0.989497374343586,1.98091176006788,148.556554777177,284.219238127296
2013-06-03,0.0153346421057602,16.8058333333333,0,0.247511988861961,1.0086271567892,2.01920838621021,148.483302038135,285.270703936538
2013-06-04,0.0133429337301013,16.4354166666667,0,0.237198989326046,1.02775693923481,2.05750501235254,148.410049299093,287.505998258157
2013-06-05,0.0122412292520763,16.0663541666667,0,0.22688598979013,1.04688672168042,2.09580163849487,148.336796560051,289.764457548645
2013-06-06,0.0566603886618825,15.2288541666667,0,0.216572990254215,1.06601650412603,2.1340982646372,148.263543821009,295.008882655386
2013-06-07,0.0454218396805313,15.0013541666667,0,0.2062599907183,1.08514628657164,2.17239489077952,148.190291081967,296.462863790402
2013-06-08,0.0330037890571152,15.4023958333333,0,0.195946991182385,1.10427606901725,2.21069151692185,148.117038342925,293.908295631272
2013-06-09,0.0243586956814569,16.3019791666667,0,0.18563399164647,1.12340585146287,2.24898814306418,148.043785603883,288.318919228271
2013-06-10,0.0274323805867323,16.6610294117647,0,0.175320992110555,1.14253563390848,2.28728476920651,147.970532864841,286.140817966511
2013-06-11,0.0283434711393449,16.4208333333333,0,0.16500799257464,1.16166541635409,2.32558139534884,147.897280125799,287.594642528117
2013-06-12,0.023061613313405,17.17,0,0.154694993038725,1.1807951987997,2.36387802149117,147.824027386757,283.10323612135
2013-06-13,0.0217166690872383,17.817037037037,0,0.14438199350281,1.19992498124531,2.40217464763349,147.750774647715,279.323999575798
2013-06-14,0.0180826544726894,16.3373958333333,0,0.134068993966895,1.21905476369092,2.44047127377582,147.677521908673,288.102755380059
2013-06-15,0.0158479092610217,16.3401041666667,0,0.12375599443098,1.23818454613653,2.47876789991815,147.604269169631,288.086237129499
2013-06-16,0.0150725827150929,16.9004166666667,0,0.113442994895065,1.25731432858215,2.51706452606048,147.531016430589,284.704911506906
2013-06-17,0.0149907193459414,17.4588541666667,0,0.10312999535915,1.27644411102776,2.55536115220281,147.457763691547,281.404860678931
2013-06-18,0.0174379448955898,17.2314583333333,0,0.0928169958232352,1.29557389347337,2.59365777834514,147.384510952505,282.740347221079
2013-06-19,0.014978791885888,16.864375,0,0.0825039962873202,1.31470367591898,2.63195440448746,147.311258213463,284.920274022755
2013-06-20,0.0135413220196381,17.1284375,0,0.0721909967514051,1.33383345836459,2.67025103062979,147.238005474421,283.349119739158
2013-06-21,0.01274916676342,17.1276041666667,0,0.0618779972154901,1.3529632408102,2.70854765677212,147.164752735379,283.354053640923
2013-06-22,0.0124604301529159,16.9171875,0,0.0515649976795751,1.37209302325581,2.74684428291445,147.091499996337,284.604798674357
2013-06-23,0.0121527350566936,17.9520833333333,0,0.0412519981436601,1.39122280570143,2.78514090905678,147.018247257295,278.546574932213
2013-06-24,0.0116101564670724,18.4985416666667,0,0.0309389986077451,1.41035258814704,2.8234375351991,146.944994518253,275.43986629174
2013-06-25,0.011507528626918,18.6259375,0,0.02062599907183,1.42948237059265,2.86173416134143,146.871741779211,274.724482565939
2013-06-26,0.0153675009673446,18.5155208333333,0,0.010312999535915,1.44861215303826,2.90003078748376,146.798489040169,275.344328755467
