time,FLOW,TEMP,SALT,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_poc,OGM_don,OGM_dop,OGM_pop,PHS_frp_ads,OGM_pon,OXY_oxy
2013-06-15,0.012246968,23.42571429,0,0.495023978,6.190922731,0.085949988,332.1096056,33.21096056,3.308431284,0.069744914,0.541754242,0.085949988,23.08993485,249.9933543
2013-06-16,0.012432056,23.33057143,0,0.45377198,6.286571643,0.086684603,331.9447869,33.1944787,3.306283906,0.070616726,0.548865929,0.086684603,23.01621153,250.4450348
2013-06-17,0.013179886,23.23542857,0,0.412519981,6.382220555,0.087419219,331.7799683,33.17799683,3.304136528,0.071488537,0.555977617,0.087419219,22.94248822,250.8981477
2013-06-18,0.017139441,23.14028571,0,0.371267983,6.477869467,0.088153834,331.6151496,33.16151496,3.30198915,0.072360349,0.563089305,0.088153834,22.8687649,251.3527005
2013-06-19,0.020224303,23.04514286,0,0.330015985,6.57351838,0.088888449,331.450331,33.1450331,3.299841772,0.07323216,0.570200992,0.088888449,22.79504158,251.8087006
2013-06-20,0.016079661,22.95,0,0.288763987,6.669167292,0.089623064,331.2855123,33.12855123,3.297694394,0.074103972,0.57731268,0.089623064,22.72131827,252.2661554
2013-06-21,0.012553818,23.5788,0,0.247511989,6.764816204,0.09035768,331.1206936,33.11206937,3.295547016,0.074975783,0.584424367,0.09035768,22.64759495,249.2695847
2013-06-22,0.012559301,24.2076,0,0.206259991,6.860465116,0.091092295,330.955875,33.0955875,3.293399638,0.075847594,0.591536055,0.091092295,22.57387164,246.3347577
2013-06-23,0.012252448,24.8364,0,0.165007993,6.956114029,0.09182691,330.7910563,33.07910563,3.29125226,0.076719406,0.598647743,0.09182691,22.50014832,243.4596154
2013-06-24,0.012808308,25.4652,0,0.123755994,7.051762941,0.092561526,330.6262376,33.06262377,3.289104882,0.077591217,0.60575943,0.092561526,22.42642501,240.6421671
2013-06-25,0.012808308,26.094,0,0.082503996,7.147411853,0.093296141,330.4614191,33.0461419,3.286957505,0.078463029,0.612871118,0.093296141,22.35270169,237.880488
2013-06-26,0.016761275,25.753,0,0.041251998,7.243060765,0.094030756,330.2966004,33.02966003,3.284810127,0.07933484,0.619982805,0.094030756,22.27897838,239.3713467
2013-06-27,0.01694853,25.412,0,0,7.338709677,0.094765371,330.1317817,33.01317817,3.282662749,0.080206652,0.627094493,0.094765371,22.20525506,240.8783528
2013-06-28,0.012525683,25.18466667,0,0.44345898,6.518817204,0.090553577,329.9669631,32.9966963,3.280515371,0.089086212,0.711222335,0.090553577,22.56236215,241.8921423
2013-06-29,0.014002346,24.95733333,0,0.88691796,5.698924731,0.086341783,329.8021444,32.98021444,3.278367993,0.097965773,0.795350177,0.086341783,22.91946924,242.9133318
2013-06-30,0.016591446,24.73,0,1.33037694,4.879032258,0.082129989,329.6373257,32.96373257,3.276220615,0.106845334,0.879478019,0.082129989,23.27657634,243.9420127
2013-07-01,0.015140453,24.50266667,0,1.77383592,4.059139785,0.077918194,329.4725071,32.9472507,3.274073237,0.115724895,0.963605861,0.077918194,23.63368343,244.9782774
2013-07-02,0.035450311,24.27533333,0,2.2172949,3.239247312,0.0737064,329.3076884,32.93076884,3.271925859,0.124604456,1.047733703,0.0737064,23.99079052,246.0222195
2013-07-03,0.055950016,24.048,0,2.66075388,2.419354839,0.069494606,329.1428697,32.91428697,3.269778481,0.133484017,1.131861545,0.069494606,24.34789761,247.0739338
2013-07-04,0.052439982,23.93075,0,2.633037694,2.429435484,0.068704894,328.9780511,32.8978051,3.267631103,0.128616403,1.088842732,0.068704894,24.34620675,247.619438
2013-07-05,0.03205099,23.8135,0,2.605321508,2.439516129,0.067915183,328.8132324,32.88132324,3.265483725,0.123748789,1.045823919,0.067915183,24.34451589,248.1670484
